,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
130,Sandro Kulenović,hr CRO,FW,Torino,26-263,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,981e1bee
131,Gabriel Kulla,al ALB,FW,Sassuolo,18-185,2008,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,48f99a2f
132,Giorgi Kvernadze,ge GEO,MF,Frosinone,23-198,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70006831
133,Noa Lang,nl NED,FWMF,Napoli,27-068,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e034340
134,Armand Lauriente,fr FRA,FW,Sassuolo,27-263,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d22cea7
135,Fedde Leysen,be BEL,DF,Sassuolo,23-046,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19b3caf7
136,Mattia Liberali,it ITA,MF,Como,19-140,2007,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,775f4a87
137,Stanislav Lobotka,sk SVK,MF,Napoli,31-272,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1cbb531
138,Manuel Locatelli,it ITA,MF,Juventus,28-228,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8a874f1
139,Ruben Loftus-Cheek,eng ENG,MF,Milan,30-213,1996,1,1,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e97fd090
140,Simone Lontani,it ITA,FW,Parma,18-217,2008,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a345bf69
141,Lorenzo Lucca,it ITA,FW,Napoli,25-348,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83c06f3a
142,Lorenzo Lucchesi,it ITA,DF,Monza,23-107,2003,1,1,87,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf5948ea
