nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Janis Antiste,US Sassuolo,Górnik Zabrze,prestito,1,0,1,0.0,equilibrato
Luca D'Andrea,US Sassuolo,Cesena,prestito,1,0,1,0.0,equilibrato
Francesco Corradini,US Sassuolo,Pineto,prestito,1,0,1,0.0,equilibrato
Filippo Romagna,US Sassuolo,svincolato,definitivo,1,0,0,0.0,equilibrato
Pedro Felipe,US Sassuolo,Juve Next Gen,prestito,1,0,1,0.0,equilibrato
Ulisses Garcia,US Sassuolo,Marsiglia,prestito,1,0,1,0.0,equilibrato
M'Bala Nzola,US Sassuolo,Fiorentina,prestito,1,0,1,0.15,possesso
Woyo Coulibaly,US Sassuolo,Leicester City,prestito,1,0,1,0.0,equilibrato
Aster Vranckx,US Sassuolo,Wolfsburg,prestito,1,0,1,0.0,equilibrato
Tino Anjorin,Torino FC,Empoli,definitivo,1,-1,0,0.1,possesso
Sandro Kulenović,Torino FC,Dinamo Zagabria,definitivo,1,0,0,0.0,equilibrato
Kian Fitz-Jim,Torino FC,Ajax,definitivo,1,0,0,0.0,equilibrato
Diego Mascardi,Torino FC,Spezia,definitivo,1,-1,0,0.0,equilibrato
Niccolò Fortini,Torino FC,Fiorentina,prestito,1,0,1,0.15,possesso
Pietro Comuzzo,Torino FC,Fiorentina,prestito,1,0,1,0.15,possesso
Eray Cömert,Torino FC,Valencia,definitivo,1,0,0,0.0,equilibrato
Gaetano Oristanio,Torino FC,Venezia,prestito,1,-1,1,0.0,equilibrato
Tommaso Gabellini,Torino FC,Torino U20,definitivo,1,0,0,0.05,equilibrato
Wisdom Acquah,Torino FC,Torino U20,definitivo,1,0,0,0.05,equilibrato
Andrea Luongo,Torino FC,Torino U20,definitivo,1,0,0,0.05,equilibrato
Demba Seck,Torino FC,Partizan,definitivo,1,0,0,0.0,equilibrato
Saba Sazonov,Torino FC,Getafe CF,definitivo,1,0,0,0.0,equilibrato
Guillermo Maripán,Torino FC,Internacional,definitivo,1,1,0,0.1,pressing
Valentino Lazaro,Torino FC,Al-Ain,definitivo,1,0,0,0.0,equilibrato
Zanos Savva,Torino FC,Olympiakos N.,definitivo,1,0,0,0.0,equilibrato
Fabio Desole,Torino FC,Carpi,definitivo,1,0,0,0.0,equilibrato
Jacopo Antolini,Torino FC,Pergolettese,definitivo,1,0,0,0.0,equilibrato
Francesco Dell'Aquila,Torino FC,Vis Pesaro,definitivo,1,0,0,0.0,equilibrato
Nicola Rauti,Torino FC,Vicenza,definitivo,1,0,0,0.0,equilibrato
Matteo Brezzo,Torino FC,Chisola,prestito,1,0,1,0.0,equilibrato
Alessandro Dellavalle,Torino FC,Padova,prestito,1,0,1,0.0,equilibrato
Cristian Padula,Torino FC,Cerignola,prestito,1,0,1,0.0,equilibrato
Tommaso Di Marco,Torino FC,Catania,prestito,1,0,1,0.0,equilibrato
Aaron Ciammaglichella,Torino FC,Pro Vercelli,prestito,1,0,1,0.0,equilibrato
Sergiu Perciun,Torino FC,Ascoli,prestito,1,-1,1,0.0,equilibrato
Jonathan Silva,Torino FC,Mantova,prestito,1,0,1,0.0,equilibrato
Adrien Tamèze,Torino FC,svincolato,definitivo,1,0,0,0.0,equilibrato
Enzo Ebosse,Torino FC,Udinese,prestito,1,0,1,0.0,contropiede
Luca Marianucci,Torino FC,Napoli,prestito,1,1,1,0.2,possesso
Matteo Prati,Torino FC,Cagliari,prestito,1,-1,1,0.0,contropiede
Niels Nkounkou,Torino FC,Eintracht,prestito,1,0,1,0.0,equilibrato
David Romero,Parma Calcio,Tigre,definitivo,1,1,0,0.0,equilibrato
Hans Nicolussi Caviglia,Parma Calcio,Venezia,definitivo,1,0,0,0.0,equilibrato
Giovanni Daffara,Parma Calcio,Juve Next Gen,definitivo,1,1,0,0.0,equilibrato
Benja Cremaschi,Parma Calcio,Miami,definitivo,1,1,0,0.0,equilibrato
Ousmane Diallo,Parma Calcio,B. Dortmund II,definitivo,1,1,0,0.0,equilibrato
Aymen Zouin,Parma Calcio,Inter U20,definitivo,1,1,0,0.1,pressing
Simone Lontani,Parma Calcio,Milan U20,definitivo,1,1,0,0.15,pressing
Thomás De Martis,Parma Calcio,Lanús,prestito,1,1,1,0.0,equilibrato
Daniel Mikolajewski,Parma Calcio,Parma U20,definitivo,1,0,0,0.05,equilibrato
Abdou-Salam Konate,Parma Calcio,Parma U20,definitivo,1,0,0,0.05,equilibrato
Dominik Drobnic,Parma Calcio,Parma U20,definitivo,1,0,0,0.05,equilibrato
Zion Suzuki,Parma Calcio,Aston Villa,definitivo,1,1,0,0.0,equilibrato
Mateo Pellegrino,Parma Calcio,Fiorentina,definitivo,1,1,0,0.15,possesso
Alessandro Circati,Parma Calcio,Benfica,definitivo,1,1,0,0.0,equilibrato
Adrian Benedyczak,Parma Calcio,Kasimpasa,definitivo,1,1,0,0.0,equilibrato
Tjas Begic,Parma Calcio,Sampdoria,definitivo,1,1,0,0.0,equilibrato
Nahuel Estévez,Parma Calcio,Palermo,definitivo,1,1,0,0.0,equilibrato
Anthony Partipilo,Parma Calcio,Barletta,definitivo,1,1,0,0.0,equilibrato
Antoine Joujou,Parma Calcio,FC Nantes,definitivo,1,1,0,0.0,equilibrato
Dario Sits,Parma Calcio,FC Dordrecht,prestito,1,1,1,0.0,equilibrato
Jacob Ondrejka,Parma Calcio,FC Groningen,prestito,1,1,1,0.0,equilibrato
Filippo Rinaldi,Parma Calcio,Catania,prestito,1,1,1,0.0,equilibrato
Gabriel Strefezza,Parma Calcio,Olympiacos,prestito,1,1,1,0.0,equilibrato
Giuseppe Aurelio,Cagliari Calcio,Spezia,definitivo,1,0,0,0.0,equilibrato
Jacopo Fazzini,Cagliari Calcio,Fiorentina,prestito,1,1,1,0.15,possesso
Demi Akarakiri,Cagliari Calcio,Everton U18,definitivo,1,1,0,0.0,equilibrato
Kevin Carlos,Cagliari Calcio,Nizza,prestito,1,1,1,0.0,equilibrato
Harry Winks,Cagliari Calcio,Leicester City,definitivo,1,1,0,0.0,equilibrato
Raphael Kofler,Cagliari Calcio,Südtirol,prestito,1,1,1,0.0,equilibrato
